0.0	1.0216780045351475	N
1.0216780045351475	4.272471655328799	Bb:maj
4.272471655328799	6.989206349206349	Eb:maj/5
6.989206349206349	9.404081632653062	Bb:maj
9.404081632653062	11.72607709750567	Bb:maj7
11.72607709750567	13.444353741496599	Eb:maj/5
13.444353741496599	15.139410430839003	F:sus4(b7)
15.139410430839003	18.854603174603174	Bb:maj
18.854603174603174	21.478458049886623	Eb:maj
21.478458049886623	23.219954648526077	F:7
23.219954648526077	26.122448979591837	Bb:7
26.122448979591837	27.88716553287982	Eb:maj
27.88716553287982	29.675102040816327	Ab:7
29.675102040816327	33.9243537414966	Bb:maj/5
33.9243537414966	36.014149659863946	F:7
36.014149659863946	36.94294784580499	Bb:maj
36.94294784580499	40.07764172335601	Eb:maj
40.07764172335601	40.542040816326534	C:min7
40.542040816326534	47.972426303854874	Bb:maj
47.972426303854874	49.71392290249433	C:min7
49.71392290249433	52.7092970521542	F:7
52.7092970521542	56.099410430839	Bb:7
56.099410430839	56.95854875283447	C:min7
56.95854875283447	58.72326530612245	Ab:7
58.72326530612245	62.48489795918368	Bb:maj/5
62.48489795918368	65.99111111111111	F:maj
65.99111111111111	69.63664399092971	Eb:maj
69.63664399092971	73.25895691609978	Bb:maj
73.25895691609978	75.25587301587302	F#:maj7
75.25587301587302	76.90448979591837	Ab:maj/b7
76.90448979591837	78.7156462585034	F:min7
78.7156462585034	80.55002267573697	Bb:min7
80.55002267573697	82.40761904761905	Eb:min7
82.40761904761905	84.17233560090703	Ab:7
84.17233560090703	86.00671201814059	C#:maj
86.00671201814059	87.84108843537415	C#:7
87.84108843537415	89.65224489795918	F#:maj7
89.65224489795918	91.46340136054422	B:7
91.46340136054422	93.25133786848073	F:min7
93.25133786848073	95.10893424036281	Bb:min7
95.10893424036281	98.70802721088435	Eb:min7
98.70802721088435	100.42630385487529	Ab:sus4(b7)
100.42630385487529	102.35356009070296	Ab:7
102.35356009070296	106.02231292517007	C#:maj7
106.02231292517007	107.85668934240363	Eb:min7
107.85668934240363	109.66784580498866	Ab:7
109.66784580498866	113.31337868480726	F:min7
113.31337868480726	115.07809523809524	F#:maj7
115.07809523809524	116.93569160997733	B:7
116.93569160997733	118.88616780045352	Bb:min7
118.88616780045352	120.60444444444445	Ab:maj
120.60444444444445	121.83510204081632	G:hdim7
121.83510204081632	122.36916099773242	Eb:maj/3
122.36916099773242	124.18031746031747	F#:maj
124.18031746031747	125.96825396825398	F:min7
125.96825396825398	126.71129251700681	Eb:min7
126.71129251700681	127.77941043083901	Ab:sus4(b7)
127.77941043083901	129.8227664399093	C#:maj
129.8227664399093	131.54104308390023	F:7
131.54104308390023	135.11691609977325	Bb:maj
135.11691609977325	136.92807256235827	C:min7
136.92807256235827	138.71600907029477	F:7
138.71600907029477	142.36154195011338	D:min7
142.36154195011338	144.19591836734693	Eb:maj7
144.19591836734693	146.05351473922903	Ab:7
146.05351473922903	149.65260770975058	Bb:maj/5
149.65260770975058	151.41732426303855	F:sus4(b7)
151.41732426303855	153.27492063492065	F:7
153.27492063492065	156.8972335600907	Eb:maj
156.8972335600907	160.51954648526078	Bb:maj
160.51954648526078	162.49324263038548	F#:maj7
162.49324263038548	164.1882993197279	Ab:maj/b7
164.1882993197279	165.99945578231294	F:min7
165.99945578231294	167.81061224489795	Bb:min7
167.81061224489795	169.6449886621315	Eb:min7
169.6449886621315	171.45614512471656	Ab:7
171.45614512471656	172.8261224489796	C#:maj
172.8261224489796	175.0552380952381	C#:7
175.0552380952381	176.91283446712018	F#:maj7
176.91283446712018	178.74721088435373	B:7
178.74721088435373	180.55836734693878	F:min7
180.55836734693878	182.3463038548753	Bb:min7
182.3463038548753	185.9918367346939	Eb:min7
185.9918367346939	187.6868934240363	Ab:sus4(b7)
187.6868934240363	189.61414965986395	Ab:7
189.61414965986395	193.25968253968253	C#:maj
193.25968253968253	195.11727891156463	Eb:min7
195.11727891156463	196.92843537414967	Ab:7
196.92843537414967	200.55074829931974	F:min7
200.55074829931974	202.3851247165533	F#:maj7
202.3851247165533	204.1730612244898	B:7
204.1730612244898	206.0538775510204	Bb:min7
206.0538775510204	207.88825396825396	Ab:maj
207.88825396825396	209.62975056689342	G:hdim7
209.62975056689342	211.41768707482993	F#:maj
211.41768707482993	213.27528344671202	F:min7
213.27528344671202	215.22575963718822	Eb:min7
215.22575963718822	218.6855328798186	Ab:sus4(b7)
218.6855328798186	222.3542857142857	C#:maj
222.3542857142857	224.18866213151927	Eb:min7
224.18866213151927	226.04625850340136	Ab:7
226.04625850340136	227.69487528344672	F:min7
227.69487528344672	229.66857142857143	C#:maj/3
229.66857142857143	231.92090702947846	F#:maj
231.92090702947846	233.26766439909298	B:7
233.26766439909298	235.14848072562359	Bb:min7
235.14848072562359	236.98285714285714	Ab:maj
236.98285714285714	238.7011337868481	Eb:maj/3
238.7011337868481	240.55873015873016	F#:maj
240.55873015873016	241.27854875283447	F:min7
241.27854875283447	242.3698866213152	C#:maj/3
242.3698866213152	243.06648526077097	Eb:min7
243.06648526077097	244.1578231292517	Ab:sus4(b7)
244.1578231292517	247.8962358276644	C#:maj
247.8962358276644	249.75383219954648	Eb:min7
249.75383219954648	253.30648526077098	Ab:sus4(b7)
253.30648526077098	255.04798185941044	Ab:maj
255.04798185941044	259.1114739229025	C#:maj
259.1114739229025	261.73532879818595	F#:maj/5
261.73532879818595	266.0542403628118	C#:maj
266.0542403628118	268.26013605442176	F#:maj/5
268.26013605442176	270.83755102040817	Ab:7
270.83755102040817	281.4722902494331	C#:maj
